TIMEOUT | WAIT_COUNT | TOTAL_LATENCY | LATENCY_ITERATION | ELAPSED_TIME | DIFF |
0 | 1007 | 1598528281 | 1587416 | 1000 | -1587416 |
500 | 949193 | 1598244048 | 1683 | 1000 | -1183 |
1000 | 732770 | 1597782288 | 2180 | 1000 | -1180 |
1500 | 597134 | 1598392408 | 2676 | 1000 | -1176 |
2000 | 501039 | 1597657904 | 3188 | 1000 | -1188 |
2500 | 433773 | 1598436831 | 3684 | 1000 | -1184 |
3000 | 382129 | 1598359936 | 4182 | 1000 | -1182 |
3500 | 341841 | 1598312656 | 4675 | 1000 | -1175 |
4000 | 308212 | 1598370912 | 5185 | 1000 | -1185 |
4500 | 281103 | 1598015672 | 5684 | 1000 | -1184 |
5000 | 258781 | 1598416656 | 6176 | 1000 | -1176 |
5500 | 239365 | 1598383945 | 6677 | 1000 | -1177 |
6000 | 222179 | 1597685256 | 7190 | 1000 | -1190 |
6500 | 208074 | 1598197776 | 7680 | 1000 | -1180 |
7000 | 195456 | 1598340800 | 8177 | 1000 | -1177 |
7500 | 184141 | 1598278432 | 8679 | 1000 | -1179 |
8000 | 174106 | 1598399945 | 9180 | 1000 | -1180 |
8500 | 165026 | 1597621511 | 9681 | 1000 | -1181 |
9000 | 157086 | 1598213216 | 10174 | 1000 | -1174 |
9500 | 150083 | 1598329224 | 10649 | 1000 | -1149 |
10000 | 143090 | 1598384776 | 11170 | 1000 | -1170 |
10500 | 137090 | 1598400608 | 11659 | 1000 | -1159 |
11000 | 131200 | 1598411712 | 12183 | 1000 | -1183 |
11500 | 126000 | 1597590808 | 12679 | 1000 | -1179 |
12000 | 121765 | 1598448704 | 13127 | 1000 | -1127 |
12500 | 117077 | 1598382648 | 13652 | 1000 | -1152 |
13000 | 113026 | 1597729760 | 14135 | 1000 | -1135 |
13500 | 109052 | 1598276784 | 14656 | 1000 | -1156 |
14000 | 105447 | 1597638880 | 15151 | 1000 | -1151 |
14500 | 102067 | 1598414911 | 15660 | 1000 | -1160 |
15000 | 99058 | 1598322040 | 16135 | 1000 | -1135 |
15500 | 96019 | 1597662080 | 16639 | 1000 | -1139 |
16000 | 93032 | 1598131264 | 17178 | 1000 | -1178 |
16500 | 91004 | 1597645255 | 17555 | 1000 | -1055 |
17000 | 88058 | 1598438968 | 18152 | 1000 | -1152 |
17500 | 86051 | 1598375360 | 18574 | 1000 | -1074 |
18000 | 83978 | 1598375376 | 19033 | 1000 | -1033 |
18500 | 81535 | 1598245888 | 19601 | 1000 | -1101 |
19000 | 79578 | 1597619055 | 20076 | 1000 | -1076 |
19500 | 78018 | 1598316896 | 20486 | 1000 | -986 |
20000 | 76048 | 1598316432 | 21017 | 1000 | -1017 |
20500 | 74031 | 1597919840 | 21584 | 1000 | -1084 |
21000 | 72080 | 1598079544 | 22170 | 1000 | -1170 |
21500 | 71040 | 1598352592 | 22499 | 1000 | -999 |
22000 | 69091 | 1598351704 | 23134 | 1000 | -1134 |
22500 | 68019 | 1597809647 | 23490 | 1000 | -990 |
23000 | 66152 | 1598445360 | 24163 | 1000 | -1163 |
23500 | 65049 | 1597727760 | 24561 | 1000 | -1061 |
24000 | 64035 | 1598319385 | 24960 | 1000 | -960 |
24500 | 62970 | 1598324575 | 25382 | 1000 | -882 |
25000 | 61023 | 1597651056 | 26181 | 1000 | -1181 |
25500 | 60037 | 1598290960 | 26621 | 1000 | -1121 |
26000 | 59012 | 1597670288 | 27073 | 1000 | -1073 |
26500 | 58028 | 1598150127 | 27541 | 1000 | -1041 |
27000 | 57040 | 1598456672 | 28023 | 1000 | -1023 |
27500 | 56031 | 1598216064 | 28523 | 1000 | -1023 |
28000 | 55038 | 1598371232 | 29041 | 1000 | -1041 |
28500 | 54019 | 1597813448 | 29578 | 1000 | -1078 |
29000 | 53035 | 1598228864 | 30135 | 1000 | -1135 |
29500 | 52334 | 1598416832 | 30542 | 1000 | -1042 |
30000 | 52004 | 1597603608 | 30720 | 1000 | -720 |
30500 | 51029 | 1598272863 | 31320 | 1000 | -820 |
31000 | 50024 | 1598039344 | 31945 | 1000 | -945 |
31500 | 49020 | 1597978000 | 32598 | 1000 | -1098 |
32000 | 48125 | 1598347664 | 33212 | 1000 | -1212 |
32500 | 48030 | 1598309952 | 33277 | 1000 | -777 |
33000 | 47011 | 1597656848 | 33984 | 1000 | -984 |
33500 | 46308 | 1598248576 | 34513 | 1000 | -1013 |
34000 | 46026 | 1598191832 | 34723 | 1000 | -723 |
34500 | 45032 | 1598331311 | 35493 | 1000 | -993 |
35000 | 45000 | 1598329168 | 35518 | 1000 | -518 |
35500 | 44009 | 1597620144 | 36302 | 1000 | -802 |
36000 | 43029 | 1598238216 | 37143 | 1000 | -1143 |
36500 | 43025 | 1598250496 | 37147 | 1000 | -647 |
37000 | 42034 | 1598447288 | 38027 | 1000 | -1027 |
37500 | 42007 | 1597643985 | 38032 | 1000 | -532 |
38000 | 41031 | 1598410960 | 38956 | 1000 | -956 |
38500 | 41025 | 1598346367 | 38960 | 1000 | -460 |
39000 | 40011 | 1597428416 | 39924 | 1000 | -924 |
39500 | 40025 | 1598397168 | 39934 | 1000 | -434 |
40000 | 39028 | 1598391961 | 40955 | 1000 | -955 |
40500 | 39022 | 1598272407 | 40958 | 1000 | -458 |
41000 | 38026 | 1598419840 | 42034 | 1000 | -1034 |
41500 | 38010 | 1597764880 | 42035 | 1000 | -535 |
42000 | 37029 | 1598324944 | 43164 | 1000 | -1164 |
42500 | 37025 | 1598287568 | 43167 | 1000 | -667 |
43000 | 37012 | 1597913807 | 43172 | 1000 | -172 |
43500 | 36024 | 1598309168 | 44367 | 1000 | -867 |
44000 | 36023 | 1598376120 | 44370 | 1000 | -370 |
44500 | 35027 | 1598419536 | 45633 | 1000 | -1133 |
45000 | 35026 | 1598428768 | 45635 | 1000 | -635 |
45500 | 35001 | 1597619184 | 45644 | 1000 | -144 |
46000 | 34022 | 1598281840 | 46977 | 1000 | -977 |
46500 | 34019 | 1598231887 | 46980 | 1000 | -480 |
47000 | 34025 | 1598429648 | 46978 | 1000 | 22 |
47500 | 33024 | 1598330568 | 48399 | 1000 | -899 |
48000 | 33008 | 1597746848 | 48404 | 1000 | -404 |
48500 | 33014 | 1598192855 | 48409 | 1000 | 91 |
49000 | 32023 | 1598344608 | 49912 | 1000 | -912 |
49500 | 32025 | 1598322464 | 49908 | 1000 | -408 |
